id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,gen14_vote,gen14_poll,gen14_likelyvoter,gen14_enthus,gen14_house,gen14_housecol,gen14_house_other,gen14_gov,gen14_gov_col,gen14_gov_other,gen14_ussen,gen14_ussen_col,gen14_ussen_other,gen14_voter,gen14_victim,gen14_minwage,gen14_insbc,gen14_miltax,redist_neutral,redist_commis,cf_lim_judg,cf_pub_judg,app_teapar,vote_teapar,ed_hscivics,ed_hscom,ed_mscom,gun_rts1,gun_rts2,gun_own,gun_concealsafe,gun_85percent,gun_bigmin,fix_deficit_il14b,tax_temp_inc,cops_makeup,cops_protect,cops_pro1,cops_rate,cops_rate1,cops_match,cops_mat1,cops_respond,cops_resp1,cops_mil,abort_leg,lg_coup_rts,betteroff_now,beteroff_1yr,news_often,education,ideo_leans,ideology,party_leans,partyaff,employ_time,employ_type,retired_type,relig_often,relig_1,relig_2,religion,born_again1,born_again,zip,age_cat,birth_yr,rac_eth,rec_eth_other,neighborhood1,neighborhood,hh_inc,male,female
19056,3,2,1,1, ,1,1,2,2,2,3,1,1,1,9,4,2, ,1,1, ,1,1, ,9,2,9,3,4,2,9,1,9,9,3,1,2,9, ,1,1,1,1,1,2,4,9,2,1,2,1,2,1,1,1,1,2,9,2,3,1,4,3,2,4,2,4, , ,4, ,1,1,5,2,60452,7,1960,1, ,5,5,5,1,0
20693,3,2,1,1, ,1,1,9,1,1,3,1,3,2,8,1,1, ,3,2, ,3,2, ,1,1,2,1,1,2,3,2,3,4,5,1,2,2, ,1,1,8,1,1,3,3,2,2,1,1,1,2,1,3,2,1,2,1,2,3,2,3,2,1,1,1,1,1, ,4, ,1,1,5,2,62234,10,1949,1, ,5,5,6,1,0
29947,3,1, , ,1,1,2,2,2,1,2,1,1,1,2,9,9, ,6,3, ,2,1, ,2,2,2,2,1,2,3,1,2,8,9,1,2,2,2, ,2,1,1,2,2,4,1,2,1,2,1,4,3,2,1,1,1,1,3,3,2,4,2,1,3,1,1,1, ,4, ,1,1,5,2,62220,6,1965,1, ,6,6,3,0,1
26791,3,1, , ,1,1,1,2,2,2,3,1,1,1,1,9,9, ,1,1, ,9,9, ,2,1,2,3,3,2,2,2,3,2,3,1,2,2, ,1,1,1,1,2,2,4,9,3,2,3,2,2,1,1,1,1,2,2,2,3,1,6,4,3,4,2,3, ,3,1,1, ,1,2,1,62236,8,1957,1, ,5,5,3,1,0
28773,3,1, , ,1,1,2,2,2,2,5,3,2,2,2,9,9, ,9,9, ,9,9, ,9,9,1,9,2,9,9,2,4,8,9,1,2,2,1, ,1,1,2,2,2,9,9,3,2,3,2,4,3,5,3,2,2,3,3,1,1,3,4,3,4,2,3, ,9,3,1, ,1,5,2,62890,9,1953,1, ,5,5,8,0,1
25873,3,2,1,1, ,1,1,2,1,1,2,1,1,1,2,1,1, ,3,2, ,3,2, ,2,2,1,1,1,3,2,1,2,4,4,2,2,2,2, ,2,2,9,9,1,2,2,1,1,1,1,2,1,2,1,9,2,2,1,3,1,2,2,1,2,1,3, ,1,1,1, ,1,2,1,62454,13,1923,1, ,5,5,6,1,0
26586,3,2,1,1, ,1,1,2,2,2,4,1,1,1,2,4,2, ,1,1, ,1,1, ,4,1,4,4,4,4,1,1,3,1,2,1,4,3,1, ,1,1,1,1,2,4,2,2,1,2,1,4,3,1,1,1,2,1,3,3,1,6,4,3,5,3,1,2, ,5, ,1,1,5,2,62040,7,1962,1, ,5,5,5,1,0
27530,3,2,1,1, ,1,1,2,2,2,3,1,1,1,1,4,2, ,1,1, ,1,1, ,1,4,4,4,4,1,2,4,2,1,2,1,1,1,1, ,1,1,1,1,2,4,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,3,5,3,7,3,1,1, ,2,1, ,1,5,2,61880,6,1967,1, ,5,5,5,1,0
28639,3,1, , ,1,1,2,2,9,1,4,1,1,1,2,1,1, ,3,2, ,3,2, ,3,2,1,4,1,3,3,9,3,3,4,1,3,3, ,1,1,1,1,2,3,1,2,4,2,4,2,1,1,1,1,9,2,2,2,3,2,3,2,1,4,2,3, ,4,2,1, ,1,4,1,60911,10,1948,1, ,5,5,6,0,1
25148,2,1, , ,1,1,1,9,9,2,1,1,1,1,8,3,2, ,1,1, ,1,1, ,1,2,1,1,4,2,9,3,3,8,3,9,2,2, ,1,1,8,9,2,1,3,1,2,1,2,1,2,1,2,1,2,9,1,3,3,2,6,3,2,9,9,1,1, ,4, ,9,9, , ,60565,14,9999,5, ,6,6,9,1,0
11118,2,2,1,1, ,1,1,2,2,2,3,1,1,1,2,1,1, ,5,3, ,3,2, ,1,1,1,2,1,1,2,1,1,8,9,2,1,2,9, ,9,2,2,2,2,3,2,3,2,3,2,2,1,2,1,2,2,2,3,3,1,3,4,3,2,1,2,4, ,3,1, ,1,2,1,60429,6,1967,2, ,1,1,3,1,0
30005,2,1, , ,1,1,1,1,2,1,2,1,1,1,8,9,9, ,1,1, ,3,2, ,2,2,3,2,9,3,2,2,3,4,5,1,3,3, ,2,2,8,1,3,3,3,2,3,2,2,1,1,1,1,1,2,2,1,3,3,1,6,3,2,1,1,1,3, ,4, ,1,1,5,2,60558,14,9999,9, ,5,5,9,1,0
28282,3,1, , ,1,1,2,2,2,1,3,1,1,1,1,4,2, ,1,1, ,1,1, ,2,1,2,4,2,2,9,2,3,2,2,2,2,2, ,1,1,1,1,2,3,4,2,3,2,3,2,4,3,2,1,1,2,3,2,3,1,4,5,3,5,3,1,1, ,2,1, ,1,5,2,61074,6,1968,1, ,5,5,4,0,1
29846,3,1, , ,1,1,2,2,2,1,3,1,1,1,1,4,2, ,9,9, ,1,1, ,2,2,9,4,2,9,1,4,9,2,9,2,2,2, ,1,1,1,1,2,2,9,2,1,1,2,1,2,1,1,1,9,3,3,3,2,1,4,5,3,9,9,3, ,3,1,1, ,1,2,1,62859,13,1933,1, ,5,5,9,0,1
18332,3,1, , ,1,1,1,1,2,1,2,1,1,1,1,4,2, ,1,1, ,1,1, ,4,1,1,4,4,1,1,1,4,3,1,1,1,1, ,1,1,1,1,1,2,3,1,2,1,2,1,1,1,1,1,9,2,2,2,2,2,6,3,2,5,3,1,4, ,3,2, ,2, , ,62881,11,1941,3, ,5,5,4,1,0
26488,2,1, , ,1,1,1,9,2,1,2,1,1,1,2,3,2, ,1,1, ,4,2, ,1,1,2,1,1,3,3,2,4,8,5,1,1,1,2, ,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,3,3,4,5,4,3,6,3,1,4, ,3,2, ,2, , ,60558,6,1969,1, ,5,5,3,1,0
25299,2,1, , ,1,1,2,2,2,1,2,1,1,1,2,4,2, ,1,1, ,9,9, ,3,2,2,2,3,2,2,1,1,2,3,1,1,3,1, ,1,1,1,2,3,4,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,5,4,3,4,2,2,1, ,4, ,1,1,5,2,60193,5,1972,1, ,5,5,6,0,1
29060,2,1, , ,1,1,2,1,1,1,1,1,1,1,8,1,1, ,1,1, ,3,2, ,2,9,3,2,3,2,2,3,3,4,5,2,3,3, ,2,2,2,1,2,2,2,1,2,1,2,1,9,9,1,1,2,1,1,1,1,3,6,3,2,1,1,1,2, ,1,1, ,1,5,2,60613,7,1960,1, ,6,6,6,0,1
29350,3,1, , ,1,1,2,1,2,1,2,1,1,1,2,1,1, ,3,2, ,3,2, ,1,1,1,3,1,9,1,1,1,4,5,1,1,1,2, ,2,2,9,2,1,9,1,1,1,1,1,1,1,1,1,2,2,2,3,3,1,2,3,2,1,1,3, ,1,1,1, ,1,5,2,60548,11,1940,1, ,5,5,9,0,1
28025,3,1, , ,1,1,2,1,2,1,2,1,1,1,2,1,1, ,3,2, ,3,2, ,1,2,1,1,1,3,4,3,4,3,5,2,3,3, ,2,2,2,2,3,2,2,1,2,1,2,1,2,1,2,1,2,2,2,3,1,1,6,3,2,1,1,3, ,3,1,2, ,2, , ,29011,2,1989,2, ,6,6,9,0,1
27626,3,1, , ,1,1,2,2,2,2,4,1,1,1,2,9,9, ,8,9,THINKING ABOUT PUTTING MY OWN NAME DOWN,6,3, ,2,1,1,3,1,4,4,4,4,8,3,2,4,4,2, ,2,2,1,1,2,4,1,9,9,9,9,9,9,2,1,2,1,1,3,2,1,3,9,9,9,9,3, ,3,4, ,1,1,5,2,61264,10,1949,1, ,6,6,3,0,1
28583,3,1, , ,1,1,1,2,2,2,4,1,1,1,2,4,2, ,1,1, ,1,1, ,3,4,3,2,2,2,4,1,2,8,9,4,4,4, ,1,1,1,1,1,3,4,9,3,2,2,1,2,1,1,1,1,2,2,2,3,1,3,5,3,3,1,1,1, ,3,1, ,1,5,2,61360,6,1966,1, ,5,5,9,1,0
29542,3,1, , ,1,1,2,9,1,1,3,1,1,1,9,1,1, ,9,9, ,9,9, ,9,9,1,9,1,9,9,9,9,8,9,9,9,9, ,1,1,2,9,9,9,9,1,2,1,2,1,3,2,9,9,9,1,9,3,9,1,2,9,9,9,9,3, ,1,1,1, ,1,2,1,99999,13,1925,2, ,6,6,9,0,1
25810,2,1, , ,1,1,2,2,9,9,2,1,1,1,2,4,2, ,1,1, ,1,1, ,9,9,2,3,9,9,9,3,3,4,4,2,1,2,2, ,2,2,9,9,3,3,1,2,1,2,1,9,9,2,1,1,3,2,2,3,1,2,4,3,6,3,3, ,1,1,1, ,1,5,2,60004,13,1922,1, ,5,5,9,0,1
29868,2,1, , ,1,1,2,2,9,1,2,1,3,2,2,1,1, ,9,9, ,3,2, ,1,2,1,1,1,2,9,9,2,8,9,2,2,3,2, ,2,8,2,2,9,4,1,1,1,1,1,9,9,2,1,2,9,1,2,1,1,3,9,9,2,1,4, , ,4, ,1,1,2,1,60139,8,1956,1, ,6,6,1,0,1
29795,3,1, , ,1,1,2,1,2,1,2,1,1,1,2,1,1, ,1,1, ,3,2, ,1,9,1,1,1,2,1,1,2,4,5,1,1,1,2, ,2,2,9,3,3,1,1,1,1,1,1,4,3,2,1,2,1,1,1,1,3,6,2,1,3,1,1,3, ,5, ,2,2, , ,62704,7,1964,1, ,5,5,9,0,1
25502,2,1, , ,1,1,1,2,2,2,3,1,1,1,1,4,2, ,1,1, ,1,1, ,2,2,4,1,4,1,1,4,3,8,2,1,1,1, ,2,2,1,1,1,3,4,2,1,1,1,1,2,1,1,1,1,2,2,3,2,1,3,4,3,6,3,3, ,3,4, ,1,1,5,2,60638,10,1948,1, ,4,4,5,1,0
26331,2,1, , ,1,1,1,2,2,1,2,1,1,1,1,4,2, ,1,1, ,1,1, ,4,1,4,4,4,1,1,1,4,1,1,4,4,4,1, ,1,1,9,2,2,9,2,4,2,4,2,2,1,1,1,1,3,3,3,1,1,2,4,3,5,3,3, ,1,3,1, ,1,5,2,60633,13,1934,8,IRISH,4,4,9,1,0
28962,2,1, , ,1,1,1,1,1,1,2,1,1,1,2,2,1, ,3,2, ,3,2, ,1,1,1,1,1,2,2,2,2,8,5,1,1,2,1, ,1,1,1,1,8,4,1,2,1,2,1,3,2,1,1,1,1,1,3,3,1,4,1,1,1,1,1,1, ,4, ,1,1,5,2,60462,7,1962,1, ,2,2,2,1,0
20460,3,1, , ,1,1,2,2,2,2,3,3,1,2,8,4,2, ,1,1, ,1,1, ,2,2,1,2,3,2,2,9,3,8,9,2,4,4,9, ,9,2,1,3,2,4,2,5,2,5,2,9,9,5,3,9,3,9,2,3,4,1,9,9,7,3,3, ,9,5, ,2,2, , ,62237,14,9999,1, ,5,5,9,0,1
24125,2,2,1,1, ,1,2,9,1,1,4,1,1,1,2,1,1, ,3,2, ,3,2, ,3,3,3,2,3,3,3,3,3,8,1,3,4,4, ,2,2,2,1,2,2,3,9,5,2,5,2,2,1,5,3,2,1,3,3,3,4,3,3,2,1,1,2,1, ,3,1, ,1,5,2,60628,4,1979,2, ,1,1,2,0,1
14520,1,2,1,1, ,1,1,1,1,2,4,1,2,2,8,1,1, ,3,2, ,3,2, ,2,2,2,3,1,2,3,2,2,8,1,2,3,3, ,2,2,8,1,3,2,3,1,2,1,2,1,2,1,4,3,2,2,2,2,3,1,6,4,3,2,1,1,1, ,1,1, ,1,1,1,60620,7,1964,2, ,1,1,4,1,0
29891,3,1, , ,1,1,2,2,9,9,1,1,1,1,2,1,1, ,3,2, ,3,2, ,2,2,3,1,1,1,1,1,2,4,5,4,1,1, ,1,1,1,1,1,3,1,9,2,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,1,1,1,1,1, ,5, ,3,3, , ,62264,5,1972,1, ,5,5,4,0,1
25445,2,2,1,1, ,1,1,9,9,9,3,1,2,2,8,1,1, ,3,2, ,3,2, ,2,3,2,2,1,2,3,1,3,4,1,9,3,3, ,2,2,2,1,9,3,3,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,5,2,1,1,1,1,1, ,4, ,2,2, , ,60065,7,1964,1, ,5,5,6,1,0
26171,2,2,1,1, ,1,1,9,2,2,3,2,1,2,2,1,1, ,3,2, ,3,2, ,4,4,1,1,1,2,2,2,2,8,4,4,1,1,1, ,1,2,1,4,1,3,1,5,2,5,2,4,3,5,3,2,2,3,3,1,2,3,3,2,2,1,4, , ,3,1, ,1,5,2,60406,1,1994,2, ,1,1,9,1,0
29642,2,2,1,1, ,1,2,1,1,1,2,1,1,1,8,9,9, ,3,2, ,3,2, ,1,1,1,1,1,1,2,1,2,3,4,1,1,1,2, ,2,8,1,2,2,4,1,1,1,1,1,2,1,1,1,2,1,1,3,3,1,2,3,2,2,1,4, , ,3,1, ,1,5,2,60540,8,1957,1, ,5,5,6,0,1
30083,3,1, , ,1,1,2,2,2,1,3,2,1,2,2,2,1, ,9,9, ,3,2, ,4,4,1,9,1,2,9,1,2,8,5,2,3,3,1, ,1,8,1,2,2,3,1,2,1,2,1,2,1,2,1,9,2,1,2,3,1,2,3,2,2,1,3, ,1,4, ,1,1,5,2,60952,12,1935,1, ,5,5,4,0,1
24913,2,2,1,1, ,1,1,2,2,2,3,1,1,1,1,3,2, ,5,3, ,3,2, ,1,1,2,1,1,2,2,1,4,3,4,3,1,1, ,2,2,1,1,2,8,4,2,2,1,3,2,5,3,2,1,1,1,1,3,1,2,5,2,1,5,3,1,3, ,5, ,2,2, , ,60629,3,1980,8,CUBAN AND AFRICAN AMERICAN,6,6,6,1,0
27037,2,2,1,1, ,1,1,2,2,1,2,3,1,2,9,4,2, ,2,1, ,9,9, ,4,1,1,1,1,4,3,1,2,8,1,1,4,1, ,2,2,9,2,3,2,4,2,5,2,2,1,5,3,1,1,9,2,1,3,1,2,2,3,2,6,3,1,9, ,3,2, ,2, , ,60090,1,1991,4, ,5,5,2,1,0
30280,2,2,1,1, ,1,1,9,1,1,3,1,1,1,8,9,9, ,9,9, ,9,9, ,9,9,2,1,1,1,1,1,2,8,9,3,1,2,1, ,1,8,2,4,3,9,1,5,2,9,9,1,1,4,3,2,9,1,3,1,4,6,9,9,4,2,1,2, ,5, ,3,3, , ,64649,5,1974,2, ,1,1,7,1,0
28054,3,1, , ,1,1,2,2,2,2,3,1,3,2,1,4,2, ,1,1, ,1,1, ,2,1,4,4,4,1,1,4,4,1,2,4,4,4, ,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,4,4,3,7,3,2,2, ,3,1, ,1,5,2,62644,10,1947,1, ,5,5,3,0,1
28764,3,1, , ,1,1,2,2,2,2,3,1,1,1,1,4,2, ,1,1, ,1,1, ,2,9,2,9,9,9,2,9,9,2,9,2,3,3, ,1,1,9,2,9,2,9,1,4,2,9,9,4,3,5,3,2,9,9,2,2,1,2,4,3,5,3,3, ,1,4, ,1,1,5,2,62948,10,1948,1, ,9,9,9,0,1
25480,2,1, , ,1,1,2,2,2,2,3,1,1,1,2,9,9, ,9,9, ,3,2, ,4,1,9,1,1,2,2,1,4,3,5,1,2,3, ,1,1,1,1,1,8,4,2,4,2,5,2,2,1,4,3,1,1,1,3,1,1,4,3,2,9,9,1,4, ,4, ,3,3, , ,60633,6,1969,1, ,4,4,6,0,1
26005,2,1, , ,1,1,2,1,2,1,2,1,2,2,2,1,1, ,1,1, ,1,1, ,2,2,2,3,2,3,2,2,3,4,5,1,2,2,2, ,2,2,1,2,1,3,2,2,1,1,1,1,1,1,1,1,3,1,3,3,1,2,4,3,4,2,3, ,1,1,1, ,1,5,2,60463,10,1946,1, ,5,5,2,0,1
26384,2,1, , ,1,1,1,1,1,1,2,1,1,1,2,1,1, ,3,2, ,3,2, ,2,2,2,2,2,2,2,2,2,4,5,2,2,2,2, ,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,5,1,1,1,1,1,1, ,5, ,3,3, , ,60417,2,1986,4, ,3,3,2,1,0
27284,2,1, , ,1,1,2,1,1,1,2,1,1,1,1,1,1, ,3,2, ,3,2, ,2,9,2,2,2,3,2,2,3,4,5,3,1,1, ,2,2,8,1,1,3,3,2,2,1,1,1,3,2,1,1,1,1,1,2,3,2,2,1,1,1,1,1,1, ,5, ,1,1,5,2,60477,7,1960,1, ,5,5,5,0,1
27907,2,1, , ,1,1,2,2,2,1,4,1,1,1,1,4,2, ,1,1, ,1,1, ,3,2,3,4,4,1,1,1,1,8,4,2,1,1, ,1,1,1,1,1,2,4,2,4,2,1,1,2,1,1,1,1,2,1,2,2,1,6,3,2,4,2,4, , ,4, ,1,1,5,2,60302,9,1952,1, ,6,6,5,0,1
27661,3,1, , ,1,1,2,2,2,1,3,1,1,1,9,4,2, ,1,1, ,9,9, ,1,9,1,4,4,9,1,4,4,8,9,1,1,1,2, ,2,1,1,1,1,4,2,1,1,1,1,2,1,4,3,2,3,2,3,3,1,5,5,3,6,3,3, ,3,1,1, ,1,1,1,62644,12,1935,1, ,5,5,4,0,1
28495,3,1, , ,1,1,2,1,1,1,3,1,1,1,8,1,1, ,3,2, ,3,2, ,2,2,1,2,2,2,2,2,2,3,5,2,9,3, ,2,2,2,2,3,1,4,1,2,1,2,1,2,1,5,3,2,1,1,1,1,1,2,2,1,1,1,3, ,9,5, ,1,1,5,2,61401,12,1939,1, ,9,9,1,0,1
29691,3,1, , ,1,1,1,2,2,1,2,1,1,1,1,4,2, ,1,1, ,1,1, ,4,1,4,4,4,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,3,3,2,2,1,6,3,2,6,3,1,1, ,3,1, ,1,5,2,60423,9,1953,2, ,1,1,1,1,0
27835,3,1, , ,1,1,2,2,2,2,4,1,1,1,8,4,2, ,9,9, ,9,9, ,2,2,2,3,2,2,9,3,3,8,3,2,3,4, ,1,1,1,1,2,3,3,2,2,1,9,9,9,9,1,1,1,2,3,3,3,1,4,3,2,7,3,4, , ,2,1, ,1,5,2,62838,6,1966,1, ,5,5,2,0,1
25118,2,2,1,1, ,1,1,2,2,1,1,3,1,2,2,1,1, ,5,3, ,3,2, ,1,1,1,1,1,2,1,1,1,4,5,1,2,2,2, ,2,2,2,3,1,1,1,2,1,2,1,4,3,4,3,2,1,1,3,1,4,5,1,1,3,1,1,1, ,5, ,3,3, , ,60202,1,1990,1, ,5,5,5,1,0
28455,3,1, , ,1,1,2,2,2,2,2,1,1,1,2,2,1, ,4,2, ,3,2, ,1,9,1,1,1,2,2,3,2,8,9,1,2,3, ,2,2,2,2,2,2,2,1,3,2,3,2,4,3,9,9,2,2,1,3,3,1,3,2,1,2,1,3, ,9,9, ,1,1,9,9,61604,10,1948,1, ,2,2,9,0,1
26814,1,1, , ,1,1,2,1,1,1,1,1,1,1,2,1,1, ,3,2, ,3,2, ,4,1,1,1,4,2,3,4,1,4,5,4,4,4, ,2,2,2,1,1,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3, ,2,3,1, ,1,5,2,60608,9,1951,2, ,1,1,2,0,1
23676,2,2,1,1, ,1,1,2,2,2,2,1,1,1,8,3,2, ,9,9, ,3,2, ,2,1,1,2,2,9,2,4,4,8,3,1,1,1, ,1,1,2,1,1,3,4,1,2,1,2,1,2,1,2,1,1,1,1,2,3,1,3,2,1,6,3,3, ,1,4, ,1,1,5,2,60452,9,1954,1, ,5,5,7,1,0
27902,2,2,1,1, ,1,1,1,1,1,3,1,1,1,2,1,1, ,3,2, ,1,1, ,2,9,2,2,2,1,2,1,3,2,2,1,2,3,1, ,1,1,1,2,1,2,2,3,2,1,1,1,1,1,1,2,2,1,3,3,1,4,3,2,2,1,3, ,3,4, ,1,1,5,2,60002,10,1948,1, ,5,5,6,1,0
28472,2,2,1,1, ,1,1,2,9,9,2,2,1,2,8,4,2, ,1,1, ,1,1, ,9,9,3,9,3,2,9,9,3,2,3,9,2,2,1, ,1,1,2,2,3,3,2,2,1,2,1,9,9,9,9,1,9,1,3,3,4,5,4,3,7,3,1,1, ,4, ,1,1,5,2,60069,2,1989,1, ,5,5,5,1,0
22041,1,1, , ,1,1,1,2,2,1,1,2,1,2,2,3,2, ,1,1, ,1,1, ,4,2,2,3,4,1,1,2,1,1,2,1,1,3,1, ,1,2,1,2,3,3,1,1,1,1,1,9,9,2,1,2,2,2,3,3,2,6,4,3,6,3,3, ,3,5, ,1,1,5,2,60611,7,1962,1, ,5,5,5,1,0
25868,2,1, , ,1,1,2,9,9,1,3,1,1,1,1,1,1, ,5,3, ,3,2, ,4,2,1,1,1,2,2,2,2,4,5,1,1,2,2, ,2,8,1,2,1,1,2,2,1,2,1,9,9,1,1,2,1,1,3,3,1,3,2,1,1,1,3, ,1,2,1, ,1,5,2,60646,11,1940,1, ,5,5,9,0,1
15696,2,1, , ,1,1,2,1,2,1,3,2,1,2,1,1,1, ,1,1, ,9,9, ,2,3,1,1,2,2,1,2,1,8,4,2,4,2,1, ,1,2,1,2,8,9,1,2,1,3,2,2,1,2,1,2,1,1,3,3,1,2,9,9,1,1,4, , ,9, ,1,1,8, ,60620,14,9999,2, ,1,1,9,0,1
28230,3,1, , ,1,1,2,2,2,1,3,1,1,1,1,4,2, ,1,1, ,1,1, ,4,4,4,4,4,1,2,1,3,1,3,1,3,4, ,1,1,1,1,1,2,4,2,1,1,2,1,1,1,1,1,2,2,2,3,3,1,3,4,3,7,3,1,1, ,4, ,1,1,5,2,60051,7,1964,1, ,5,5,5,0,1
27923,3,1, , ,1,1,2,9,9,1,2,1,2,2,1,9,9, ,9,9, ,2,1, ,2,9,2,2,2,2,3,9,3,8,9,1,2,2,2, ,2,2,1,9,2,9,1,2,1,1,1,9,9,1,1,2,2,1,1,3,1,5,4,3,6,3,3, ,1,3,1, ,1,8, ,60098,13,1921,1, ,5,5,1,0,1
27649,3,1, , ,1,1,1,2,2,1,2,1,1,1,2,4,2, ,2,1, ,5,3, ,1,9,2,9,4,2,2,1,1,3,2,3,4,4,1, ,1,2,1,1,2,1,2,1,1,1,1,5,3,3,2,2,1,1,1,1,2,1,5,3,2,1,3, ,1,4, ,3,3, , ,61739,10,1946,1, ,5,5,2,1,0
29422,3,1, , ,1,1,1,2,2,1,2,1,1,1,2,9,9, ,2,1, ,9,9, ,2,1,1,1,3,1,1,1,2,8,3,1,2,2, ,2,2,8,1,1,3,4,1,2,1,1,1,1,1,1,1,2,1,1,3,3,2,3,3,2,4,2,3, ,1,4, ,1,1,5,2,60447,9,1954,1, ,6,6,4,1,0
30844,1,1, , ,1,1,1,1,2,9,1,1,1,1,2,1,1, ,3,2, ,3,2, ,2,4,1,1,3,1,3,1,3,8,9,9,4,4,2, ,2,2,2,3,2,3,2,4,2,4,2,5,3,2,1,1,2,3,1,3,1,2,5,3,1,1,3, ,1,1,1, ,1,2,1,60612,11,1943,2, ,2,2,2,1,0
32232,1,1, , ,1,1,1,2,2,2,3,1,1,1,1,4,2, ,1,1, ,1,1, ,3,9,4,4,4,4,1,4,4,8,1,1,4,9, ,1,1,1,9,1,2,4,2,3,2,2,1,9,9,1,1,9,2,1,3,3,3,5,5,3,7,3,3, ,1,3,1, ,1,5,2,60610,12,1939,1, ,5,5,6,1,0
31763,2,2,1,1, ,1,1,2,2,2,2,1,1,1,1,4,2, ,1,1, ,1,1, ,3,1,4,4,4,3,1,3,3,1,2,2,2,3,1, ,1,1,1,1,3,4,2,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,5,3,2,1,3, ,1,3,1, ,1,5,2,60448,10,1948,1, ,5,5,6,1,0
28976,3,1, , ,1,1,1,2,2,1,2,1,1,1,2,4,2, ,1,1, ,1,1, ,2,2,4,4,2,2,1,2,2,1,2,2,2,3,1, ,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,5,3,1,1,1,1, ,1,1, ,1,2,1,61530,9,1954,1, ,5,5,4,1,0
32640,2,1, , ,1,1,2,1,2,2,4,1,1,1,1,1,1, ,3,2, ,3,2, ,9,3,2,9,9,3,9,2,4,8,5,3,4,4,2, ,2,2,9,2,9,1,1,2,1,4,2,9,9,2,1,2,2,9,3,1,1,2,2,1,1,1,3, ,1,1,1, ,1,2,1,60619,13,1931,2, ,1,1,9,0,1
33299,2,1, , ,1,1,1,2,2,2,3,1,1,1,8,4,2, ,1,1, ,1,1, ,2,2,4,3,4,3,2,3,3,3,5,2,3,3,1, ,1,8,1,3,2,4,2,1,1,2,1,1,1,1,1,2,3,3,3,3,1,5,5,3,7,3,3, ,1,4, ,1,1,5,2,60068,13,1924,1, ,6,6,6,1,0
26398,3,2,1,1, ,1,1,2,2,9,3,3,1,2,8,9,9, ,9,9, ,9,9, ,4,2,1,2,1,2,9,4,9,8,9,2,2,1,1, ,1,1,2,2,8,3,2,4,2,5,2,3,2,5,3,1,2,1,2,3,3,2,9,9,9,9,4, , ,3,1, ,1,8, ,62522,1,1994,1, ,1,1,1,1,0
32631,2,1, , ,1,1,2,1,2,2,5,3,3,2,8,1,1, ,3,2, ,3,2, ,9,2,1,1,4,3,4,1,2,2,2,4,4,4, ,2,2,2,2,2,8,3,2,2,1,2,1,2,1,5,3,2,1,1,2,1,4,3,3,2,1,1,4, , ,4, ,1,1,5,2,60426,1,1996,2, ,1,1,8,0,1
31228,1,1, , ,1,1,2,2,2,2,2,1,1,1,8,4,2, ,1,1, ,1,1, ,4,4,4,4,4,3,3,1,3,8,3,4,1,2,1, ,1,8,2,3,2,4,2,2,1,1,1,1,1,9,9,2,2,1,3,3,1,6,4,3,6,3,1,1, ,4, ,1,1,5,2,60043,9,1953,1, ,5,5,7,0,1
30623,1,2,1,1, ,1,2,1,1,1,1,3,1,2,2,1,1, ,3,2, ,3,2, ,2,2,1,2,2,3,3,3,4,8,5,1,1,2,1, ,1,2,1,4,1,2,1,4,2,2,1,5,3,2,1,2,2,3,3,3,4,6,3,2,3,1,4, , ,5, ,3,3, , ,61801,1,1995,3, ,6,6,8,0,1
32070,1,2,1,1, ,1,1,1,1,1,1,1,1,1,8,1,1, ,3,2, ,3,2, ,2,2,1,1,1,2,3,3,2,8,5,2,2,2,2, ,2,8,1,4,3,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,5,3,2,4,2,1,4, ,2,1, ,1,5,2,60607,5,1970,1, ,2,2,7,1,0
30534,1,2,1,1, ,1,2,1,1,1,4,1,1,1,1,1,1, ,3,2, ,9,9, ,1,1,1,1,2,2,2,2,1,4,5,1,4,2,2, ,2,2,1,3,3,3,1,2,1,1,1,5,3,1,1,2,1,1,1,3,2,2,1,1,3,1,2,1, ,5, ,2,2, , ,60621,1,1995,2, ,1,1,4,0,1
26521,3,2,1,1, ,1,1,9,2,1,3,1,1,1,8,1,1, ,9,9, ,3,2, ,1,1,1,1,1,2,1,1,1,3,5,4,4,4,2, ,2,2,2,1,1,2,9,1,1,1,1,3,2,1,1,2,1,1,3,2,3,5,1,1,2,1,1,9, ,5, ,3,3, , ,60172,4,1977,1, ,6,6,4,1,0
